Process, Time
MiningProcess,0.0
ReputationCalculation,0.0
TotalTime,0.0
QuorumDerivationTime,0.0
QuorumProcess,0.0
QuorumDerivationTime,0.0
MiningProcess,0.0
TotalTime,1.69024343E12
ReputationCalculation,0.0
QuorumProcess,0.0
QuorumDerivationTime,0.0
MiningProcess,0.0
TotalTime,131072.0
ReputationCalculation,0.0
QuorumProcess,0.0
QuorumDerivationTime,0.0
ReputationCalculation,0.0
TotalTime,1.69024369E12
MiningProcess,0.0
QuorumProcess,0.0
QuorumDerivationTime,0.0
ReputationCalculation,0.0
TotalTime,0.0
MiningProcess,0.0
QuorumProcess,0.0
MiningProcess,0.0
ReputationCalculation,0.0
QuorumProcess,0.0
QuorumDerivationTime,0.0
TotalTime,1.69024383E12
MiningProcess,0.0
ReputationCalculation,0.0
QuorumProcess,0.0
QuorumDerivationTime,0.0
TotalTime,0.0
MiningProcess,0.0
TotalTime,1.69024396E12
QuorumDerivationTime,0.0
QuorumProcess,0.0
ReputationCalculation,0.0
MiningProcess,0.0
TotalTime,0.0
QuorumDerivationTime,0.0
QuorumProcess,0.0
ReputationCalculation,0.0
MiningProcess,0.0
ReputationCalculation,0.0
TotalTime,1.69025772E12
QuorumDerivationTime,0.0
QuorumProcess,0.0
MiningProcess,0.0
ReputationCalculation,0.0
TotalTime,1.69025772E12
QuorumDerivationTime,0.0
QuorumProcess,0.0
MiningProcess,0.0
ReputationCalculation,0.0
TotalTime,1.69025772E12
QuorumDerivationTime,0.0
QuorumProcess,0.0
ReputationCalculation,0.0
TotalTime,1.69025798E12
QuorumDerivationTime,0.0
MiningProcess,0.0
QuorumProcess,0.0
ReputationCalculation,0.0
TotalTime,1.69025798E12
QuorumDerivationTime,0.0
MiningProcess,0.0
QuorumProcess,0.0
ReputationCalculation,0.0
TotalTime,1.69025798E12
QuorumDerivationTime,0.0
MiningProcess,0.0
QuorumProcess,0.0
QuorumProcess,0.0
TotalTime,1.69025811E12
QuorumDerivationTime,0.0
ReputationCalculation,0.0
MiningProcess,0.0
QuorumProcess,0.0
TotalTime,1.69025811E12
QuorumDerivationTime,0.0
ReputationCalculation,0.0
MiningProcess,0.0
QuorumProcess,0.0
TotalTime,1.69025811E12
QuorumDerivationTime,0.0
ReputationCalculation,0.0
MiningProcess,0.0
QuorumProcess,0.0
TotalTime,1.69025811E12
QuorumDerivationTime,0.0
ReputationCalculation,0.0
MiningProcess,0.0
QuorumProcess,0.0
TotalTime,1.69025824E12
QuorumDerivationTime,0.0
ReputationCalculation,0.0
MiningProcess,0.0
QuorumProcess,0.0
TotalTime,1.69025824E12
QuorumDerivationTime,0.0
ReputationCalculation,0.0
MiningProcess,0.0
QuorumProcess,0.0
TotalTime,1.69025824E12
QuorumDerivationTime,0.0
ReputationCalculation,0.0
MiningProcess,0.0
QuorumProcess,0.0
TotalTime,1.69025824E12
QuorumDerivationTime,0.0
ReputationCalculation,0.0
MiningProcess,0.0
QuorumProcess,0.0
TotalTime,1.69025824E12
QuorumDerivationTime,0.0
ReputationCalculation,0.0
MiningProcess,0.0
QuorumProcess,0.0
TotalTime,1.69025824E12
QuorumDerivationTime,0.0
ReputationCalculation,0.0
MiningProcess,0.0
QuorumProcess,0.0
TotalTime,1.69025824E12
QuorumDerivationTime,0.0
ReputationCalculation,0.0
MiningProcess,0.0
QuorumDerivationTime,0.0
MiningProcess,0.0
QuorumProcess,0.0
ReputationCalculation,-1.69025851E12
TotalTime,0.0
QuorumDerivationTime,0.0
MiningProcess,0.0
QuorumProcess,0.0
ReputationCalculation,-1.69025851E12
TotalTime,0.0
QuorumProcess,0.0
ReputationCalculation,-1.69025864E12
MiningProcess,0.0
QuorumDerivationTime,0.0
TotalTime,0.0
QuorumProcess,0.0
ReputationCalculation,-1.69025864E12
MiningProcess,0.0
QuorumDerivationTime,0.0
TotalTime,0.0
QuorumProcess,0.0
ReputationCalculation,-1.69025864E12
MiningProcess,0.0
QuorumDerivationTime,0.0
TotalTime,0.0
QuorumProcess,0.0
TotalTime,0.0
QuorumDerivationTime,0.0
ReputationCalculation,-1.69025864E12
MiningProcess,0.0
QuorumProcess,0.0
TotalTime,0.0
QuorumDerivationTime,0.0
ReputationCalculation,-1.69025864E12
MiningProcess,0.0
QuorumProcess,0.0
MiningProcess,0.0
TotalTime,0.0
ReputationCalculation,-1.69025877E12
QuorumDerivationTime,0.0
QuorumProcess,0.0
MiningProcess,0.0
TotalTime,0.0
ReputationCalculation,-1.69025877E12
QuorumDerivationTime,0.0
QuorumProcess,0.0
MiningProcess,0.0
TotalTime,0.0
ReputationCalculation,-1.69025877E12
QuorumDerivationTime,0.0
QuorumProcess,0.0
MiningProcess,0.0
TotalTime,0.0
ReputationCalculation,-1.69025877E12
QuorumDerivationTime,0.0
QuorumProcess,0.0
MiningProcess,0.0
